Nome do Veэculo;;Nome da Conta;;Data do Recebimento;;Data da Posiчуo;Posiчуo;Igniчуo;Latitude;Longitude;;Aчуo;;Velocidade;Nэvel da Bateria (%);;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:41:52;"44,53 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 53'' Sul;63А 28' 35'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:39:51;"44,46 Km ONO De COARI, AM, 1,0 Km/h";Ligada;03А 51' 53'' Sul;63А 28' 32'' Oeste;;Ver no mapa;;1;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 22:20:08;;13/02/2024 21:37:50;"44,44 Km ONO De COARI, AM, 1,0 Km/h";Ligada;03А 51' 52'' Sul;63А 28' 30'' Oeste;;Ver no mapa;;1;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:36:54;"44,40 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 53'' Sul;63А 28' 30'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:34:51;"44,38 Km ONO De COARI, AM, 5,0 Km/h";Ligada;03А 51' 52'' Sul;63А 28' 28'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:42:38;;13/02/2024 21:32:50;"44,45 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 46'' Sul;63А 28' 27'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:30:53;"44,36 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 45'' Sul;63А 28' 23'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:28:52;"44,27 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 44'' Sul;63А 28' 19'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:26:51;"44,16 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 44'' Sul;63А 28' 14'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:24:50;"44,10 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 41'' Sul;63А 28' 10'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 22:17:38;;13/02/2024 21:22:49;"44,02 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 39'' Sul;63А 28' 06'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:21:53;"43,97 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 39'' Sul;63А 28' 04'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:19:52;"43,93 Km NO De COARI, AM, 5,0 Km/h";Ligada;03А 51' 36'' Sul;63А 28' 00'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:40:08;;13/02/2024 21:17:51;"43,90 Km NO De COARI, AM, 5,0 Km/h";Ligada;03А 51' 32'' Sul;63А 27' 56'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:01;;13/02/2024 21:15:53;"43,78 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 32'' Sul;63А 27' 51'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:01;;13/02/2024 21:13:52;"43,71 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 30'' Sul;63А 27' 47'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:01;;13/02/2024 21:11:51;"43,55 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 32'' Sul;63А 27' 42'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:01;;13/02/2024 21:09:50;"43,45 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 30'' Sul;63А 27' 37'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 22:10:58;;13/02/2024 21:07:50;"43,34 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 29'' Sul;63А 27' 32'' Oeste;;Ver no mapa;;4;-;;;
